,Date,Open,High,Low,Close,Adj Close,Volume
count,2416,2416.0,2416.0,2416.0,2416.0,2416.0,2416.0
unique,2416,,,,,,
top,2017-12-11,,,,,,
freq,1,,,,,,
mean,,186.27114660016557,189.57822425620859,182.91663908236757,186.40365078187088,186.40365078187088,5572721.688741722
std,,118.74016318157173,120.89232871387044,116.85759099326673,119.13601997634154,119.13601997634154,4987809.151888423
min,,16.139999,16.629998999999998,14.98,15.8,15.8,118500.0
25%,,34.3424985,34.89750125,33.587500500000004,34.400002,34.400002,1899275.0
50%,,213.0350035,216.7450025,208.8700025,212.960007,212.960007,4578400.0
75%,,266.450012,270.92751275,262.10250075,266.774994,266.774994,7361150.0
max,,673.6900019999999,786.1400150000001,673.52002,780.0,780.0,47065000.0
